rating,title,content,date,author
1,Takes forever to load pics from camera roll,I bought the pro version yet it takes forever to upload a photo. Sometimes it never does. I hardly use this app for this reason now. It’s so difficult to use and a waste of time,2026-07-23T14:06:47-07:00,_Photographer99
5,просто вау!,"офигенные ретро камеры и всё бесплатно
спасибо разработчикам!",2026-07-22T09:38:21-07:00,артемопгопстоп
5,Amazing!!!!,"This camera is so amazing, I barely take pictures on any other app now! It has lots of different camera options and each photo turns out to be exactly as the physical camera would have taken it!",2026-07-20T09:46:35-07:00,Claireviewing
4,Have to buy pro,Have to buy pro,2026-07-18T15:48:49-07:00,Jenk54
5,five stars,"best app ever , you can take the cutest photos with it",2026-07-18T15:10:53-07:00,meimeii67
5,Amazinggg,It make my pics 10 times prettier and it makes everything aesthetic,2026-07-18T13:07:46-07:00,11/10!!!
5,Great app!,"It works perfectly like a camera, diverse of choices to take photos , and really good quality!",2026-07-17T16:26:02-07:00,EBF pty
4,Good,Very good wish everything was free tho,2026-07-15T15:38:55-07:00,Queen bee was here
5,goated,"doesn’t put an annoying watermark or have ads, you have to pay for some of the cameras but there are still lots that you don’t have to, very happy☺️",2026-07-14T19:36:34-07:00,IcecreamGirl73🍦
5,The best app for the iPhone,This app is hands down the best app for the iPhone. I use it more often than my normal camera. The photos are damn near perfect.,2026-07-13T18:50:20-07:00,SeededRye
5,Watch support,The best app for iPhone! Please add apple watch support: remote control really need!❤️,2026-07-08T09:00:07-07:00,Андрей Ефимов
5,Great,Perfect cameras everrrrr,2026-07-06T17:33:50-07:00,Veryyy niceee111
1,scam,"I purchased Dazz, now it directs me to another app to finish photo editing and I need to pay again",2026-07-05T21:40:41-07:00,brighthmy
5,Perfect,"This camera app is straight forward, had great features, and is such an upgrade from the regular iPhone camera.
Been using for 3 years and haven’t turned back!!",2026-07-05T21:30:23-07:00,Malachi Byrd
5,I love this app!!,"This app literally has only one thing about that about it and that’s if you have to pay money for some of the videos, but that’s really normal like literally I love this happen makes everybody and every single photo photogenic. I compared it with normal photos and there’s obviously difference this is an awesome app. If you’re considering getting this app do it right now it is literally so good. I love it.",2026-07-05T12:34:57-07:00,-------𝕖𝕡-------
4,Get this app instead of a digital camera!,This is such a great app! if you don’t want to spend a lot of money on a digital camera this is a great alternative! it’s free and you can take pictures that make it look like u took them with a digital camera!,2026-07-02T11:34:54-07:00,#1cellist
4,Hate,I just hate it I don't have access to photos,2026-07-02T04:57:56-07:00,Lisa moceiwai
5,Great,Works well- I recommend the CPM35 and the CT2F for a good warm tone and cool tone filter.,2026-07-01T11:25:39-07:00,Alex Yenokida
5,Love it!!,This app is so fun and takes the best photos!! Would recommend! 😁,2026-06-28T15:53:06-07:00,RzolaW
3,Amazing,Less payments,2026-06-28T10:17:07-07:00,Jayballzily
5,ITS SO GOOD!!,me and my friends are always using it to take aesthetic photos!!,2026-06-28T09:49:21-07:00,jed_103
4,Only 4 stars to not look like spam really 5 stars,"It works and I haven’t seen a single add, dose what it says",2026-06-23T18:14:00-07:00,W._.w.
2,Camera,It used to work fine now it won’t let me flip the camera saying device not available I re downloaded to see if it works and it just doesn’t work now am confused cause why did this happen so randomly now i can only take front rear no back rear and im a scenery photographer,2026-06-22T19:20:53-07:00,Lucky I love
5,i looove this app,it is sooo good all the filters are so cute and easy to use! love you sm dazz cam!,2026-06-22T13:26:04-07:00,audrey_girleyy
5,absolutely amazingggggg,so like this app is amazing at first i wasn’t able to get the camera i wanted cuz i was too slow😭😭 but omgg after i figured it out ITS SO EASY AND CUTE,2026-06-22T07:58:27-07:00,Itzzbuffyyyy
5,best camera app ever made,"Genuinely this is the greatest app ever created, i feel so blessed to even have this on my phone and use at my disposal",2026-06-21T17:19:14-07:00,twistovcain
5,5 starss!!,soso amazing!🥹🫰,2026-06-20T08:09:50-07:00,Z03!1
5,Very good,Loved how it’s easy to use,2026-06-19T12:30:37-07:00,123 camera
4,Issue,"Ok so , I don’t know if it’s an problem with the app or maybe just my phone. But, I used to use dazz cam. And I stopped because everytime I open the app it would close out. It’s been about a year since I used it, and I recently started back yesterday. And it’s continuing to do the same thing. Other than that this app is literally the best!",2026-06-18T16:15:55-07:00,Khloe Camille.
1,“This camera dosent support imports”,"Sucks, cant change filter, difficult to use",2026-06-17T13:45:32-07:00,Charlie_12335
5,amazing work,i love this app so much. i posted multiple videos and photos with this app on insta and so many people asked where i got the camera. i just told them “it’s an app actually” and they were so hyped. the photos come out perfectly especially when im taking photos of a sunset. 10/10 amazing app.❤️,2026-06-16T21:35:33-07:00,Doggy Owner2
5,Great VHS just one small thing! And 2 suggestions,"1️⃣Okay so can you add an option for like downgraded audio quality on the DCR and VHS?
2️⃣Add a VHS-C filter PLEASEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE",2026-06-15T08:31:05-07:00,Uberpodisan
5,lovelovelove,"Genuinely such a good app I found one day when I didn’t have a digital camera. All my friends use it, it literally looks like a digital camera, once you figure out the settings and everything it is absolutely amazing I love it so much and I use it for everything.😁",2026-06-14T23:23:17-07:00,vali.naah
5,THIS APP CHANGED MY LIFE,I have been loyal to this app since 2025. I have never used anything else because why would I. this is my favorite app to take photos and they always come out so good it’s all over my socials. I AM THE #1 DAZZ CAM FAN. thank you.,2026-06-14T09:17:15-07:00,melsreviewinglol
5,Loveee,LOVE!,2026-06-13T18:45:00-07:00,Hallelou💋
5,Love this app,"I love this app it is such great app im not 
Allowed to have snap so i love taking pics and using  the  filters",2026-06-13T14:36:10-07:00,Aubssslays
5,LOVEEE!,such an amazing app!! it has so many great features that are completely free to use and i LOVE that. the camera filters are perfect and id give this app a million stars if i could!!,2026-06-12T22:53:38-07:00,Melody and Add
5,LOVE DAZZ CAM,I Am forever inlove and grateful to have found this app,2026-06-10T18:56:09-07:00,Lorena Leyva
1,Rly disappointed,It makes you upgrade if you want to keep any of ur recordings so yea really annoying unless you have a bunch of money to spend,2026-06-10T14:29:02-07:00,some random cool guy :D
5,Dazz,I love this app so much. It’s the best.,2026-06-10T01:53:37-07:00,Queerandproud
5,"Perfect, my new fav app",I love Dazz cam. I feel like I never use my camera anymore lol. I want to take my wedding photos with this app lowkey,2026-06-07T20:19:28-07:00,ellie the app reviewer lol
5,افضل تطبيق للصور,😮‍💨😮‍💨,2026-06-06T16:41:47-07:00,Dex523
5,Good JOb,I love that’s it free and how you can access different modes without paying I definitely recommend,2026-06-04T23:01:59-07:00,JJ the messenger too tuff
5,OMG BEST APP EVER,"This is by far the best camera app I have ever used! It is literally like, the easiest app to navigate and you have so many different theme and camera options. There is no ads and it never forces you to use or even get pro. The only way you find out if there is a pro is by literally manually going into settings. I don’t know what else to say except you NEED this app!",2026-06-02T19:37:59-07:00,Fa review
5,Amazing,I love how it gives any photo great quality. It also gives you whatever vibe you’re looking for. This is a picture PERFECT app!!,2026-06-02T15:28:18-07:00,brooke dupree🫰🏽
5,Amazing app,Awesome pictures,2026-06-01T20:17:46-07:00,Jeisjsjah
5,Makes the iPhone Camera FUN,It just makes taking pictures fun.,2026-05-30T14:50:07-07:00,tire pressure guy
5,Esthetic,Syuka dng hasilnya,2026-05-30T11:02:20-07:00,Gbrlllaaa
5,Amazing,I’ve recently been obsessed with the 2000s vibes and this app recreates it with these filters!,2026-05-30T10:47:21-07:00,Budget texting
5,w ahh camera….,aura farming camera bro,2026-05-29T14:21:43-07:00,cornklerp
5,Best app ever,"I literally love this app like it’s so amazing. I like the fact that you can pick different filters even though some of them you have to pay, but mostly all of them is free.",2026-05-29T07:32:03-07:00,P.P💘
5,照片编辑功能建议,希望在进行照片编辑的时候，例如曲线和局部颜色调节，可以添加一个一键查看原图的功能，方便对比😉,2026-05-26T19:13:30-07:00,Nexx_t
5,you should get this app!!!,the quality is great,2026-05-26T11:18:47-07:00,Jeilany Guzman
5,SO GOOD,"don’t even need to buy a digital camera. You have to find the right settings, but just go on TikTok and find dazzcam settings. It is unbelievable and I can’t believe how good the free version is",2026-05-23T21:43:43-07:00,christan me
5,absolutely goated,Perfect it’s so cuttttteeeee,2026-05-23T19:49:32-07:00,Happyfaceivy
5,Format,This app is already amazing but would be perfect if you where able to change the formats of the photos,2026-05-22T05:51:43-07:00,ghjklsadf
5,I love this app!,love this app so much! i love talking cute pics it’s amazing! definitely rating this a 5! ♥️,2026-05-21T04:09:15-07:00,Maddie S. 14
5,🦦,Have been using the app for around two years at this point. Still love it to this day. Have been taking a lot of really nice pictures that I still look back too.,2026-05-20T19:06:19-07:00,flying.p3nguin
5,LOVE,this app literally gives you a custom glow up.. i love the filters/effects,2026-05-19T16:17:28-07:00,Avery Guest
5,AMO 💗😘,Me encanta es una buena app y súper linda las fotos te deja un efecto a las fotos como vintage.,2026-05-19T04:51:12-07:00,Camera Vintage photos
5,Yas,Soooo good no money needed and vintage pic ss js like a digital cameraaaaa,2026-05-17T15:44:01-07:00,Myeshakayesh
3,Love,This is probably one of the best camera I have ever tried. It is like so good I love it so much. I love like the colors that you can do choose to be in your photos. I really love this. Thank you for making this.,2026-05-17T10:46:56-07:00,EDA ricks
1,DONT WASTE YOUR TIME,Absolute joke do not waste your time,2026-05-17T05:12:05-07:00,Billy2772
5,Really love this app!! But requestt :),"I really love this app and have been using it for a while. I will continue to use it, however there is one request i would love for you guys to look at. Is it possible to have an import option for the FQS camera. Its in my opinion the best camera in the app, i just wish for an import option to have normal photo’s taken with that camera. 🤗🤗",2026-05-16T10:36:29-07:00,fayebor19
5,OFM能请加上自动白平衡吗？,如题～滤镜不错，就2档白平衡，一言难尽,2026-05-15T17:57:11-07:00,布鲁思陳
2,Not free to take a video,I thought it will be free to take a video with effect but it doesn’t. :(,2026-05-14T17:14:48-07:00,Mimi :) ;(
5,fav camera app!!,"all the necessities are free, and i've been fine without payments!",2026-05-12T23:30:57-07:00,Aliya Agarwal
5,best app,10/10 best camera app for daily use,2026-05-12T00:01:08-07:00,Dilangelo
5,AMAZING,Dazz cam is an AMAZING photo app I have no words!!,2026-05-10T16:09:49-07:00,Cheetagirl67
5,Great replacement for a physical camera,"Absolutely incredible app, I’ve had it for about a month and it changed the game for me. I used a physical digital camera for years, but it broke a little while ago and this was an incredible replacement. It utilizes the iPhone’s already great camera so well, and there’s so many great free options as well as incredible paid options. Easiest 5 star review ever, I literally went back of my own accord to write this review",2026-05-10T13:43:30-07:00,F.L.U.D.D 2.O
5,Love it,"I don’t usually give reviews no matter how bad or good the app is, but this app is literally insane, I’ve gotten a lot of compliments on my photos and asked many times what filter/app I use.",2026-05-09T04:29:39-07:00,sigma girl 6777
5,YAAAAAYYYYYY,YAAAAAAAAYYYYYYYYYYYYYY,2026-05-08T09:35:53-07:00,amazing but……didin't work
5,super fun,i rly like this app good results i dont want to pay 20 dollars for the pro though,2026-05-05T19:36:35-07:00,cadencejerrell
2,Image processing error,"Dear Dazz Cam

I have been using for two days and really enjoy all of camera filters.I even purchased lifetime subscription.
But when I take photos,it looks completely different.
The images are not the same as the ones before I took photos.
It goes too dark and too noise.

That makes me frustrated.
My Device is Iphone 17 pro.
I hope you can fix it or make an advice for me.

Plz Fix it",2026-05-04T22:23:34-07:00,Halvert Hein
5,Dazz cam!!,OMG This cam is soo good! It turns EVERY photo so aesthetic!!!! You could take the rabdomest photo and still make it look good!!! This app is a million out 10!!! Definitely get it!!!,2026-05-03T19:22:54-07:00,yunus abuzittin
5,Me encantaaaaa,Es como una cámara profesional,2026-05-01T17:37:00-07:00,xxanonimaa
5,lovely,my favorite app for taking photos 🥰,2026-05-01T13:05:43-07:00,Somnomia
5,The perfect camera for everyday use on iPhone,"Camera Control support just murdered all doubts. Dazz Cam now launches instantly and slots into the iPhone shooting workflow so naturally that Apple’s native Camera app suddenly feels like a dated relic.
The app has finally reached the level where you can confidently ditch the stock camera entirely and never look back. The balance between visual style, ProRaw speed, and usability is executed at the highest level – everything feels lightning fast, smooth, and damn satisfying.
This update turns Dazz Cam into a legitimate system-level camera replacement. It’s no longer just a pretty third-party app — it’s a real competitor that’s aggressively pushing the native Camera out of the way.
Extremely strong work. Respect. 🔥",2026-04-30T13:41:43-07:00,DOKIIAA
5,❤️❤️❤️❤️🦢,❤️❤️❤️❤️❤️,2026-04-30T10:50:41-07:00,May3nikkkkkk
5,love it,creates such pretty pictures and so easy to use. the pictures come out looking just like a real digital camera.,2026-04-29T10:20:01-07:00,bajar queen
5,just wow,"This so such a good app,the quality is perfect, the way it makes the lighting is chefs kiss, I have never had a better camera app experience in my life. Also you take the BEST eye pics.",2026-04-28T18:09:10-07:00,bRuTaLy HoNeSt 4🫵
5,Soooo good,Don’t have to spend money on an expensive digicam. This app does the trick. Love it!,2026-04-27T13:11:44-07:00,Lolol1111
5,Dazzzz,Amo esta app porque personalmente no soy de cargar tantas cámaras y siento q esta app es perfecta porque kit te da la misma calidad,2026-04-26T23:35:29-07:00,Amooooo esta appp!
1,Lost images,"After trying the free version, I took several amazing photos and was completely confident they were saved! Unfortunately, I saw that they were stored in temporary files that couldn't be viewed. I decided to subscribe in hopes of seeing them later, but no miracle happened! Is there any hope of seeing them, given that they're in storage?",2026-04-25T03:05:01-07:00,Atoll16
3,Preview option please!,"I love this app, but it really bugs me not being able to preview a filter before choosing it. I have to take a picture and see it in order to decide which filter to use, I can’t remember them all. It would be amazing if when choosing which camera/filter to use, that black space above was showing my camera and how does it look on what I’m photographing. Really, really, really bothers me.",2026-04-22T20:32:45-07:00,Hummingbird0812
5,الكويت,جميللل جداااا,2026-04-21T14:30:36-07:00,رورو عمتكم
5,приколдес,фотки очч эстетик,2026-04-21T14:15:58-07:00,бурмалд0
5,💯,Exactly what I wanted!!,2026-04-17T16:43:23-07:00,Kokob34r
5,Camera Control,"Приложение просто супер, добавьте возможность запуска через Camera Control, и будет 6 звёзд, спасибо!",2026-04-17T15:01:17-07:00,Марк Перовский
1,Unwanted recurring subscription charge,I have been charged on a monthly basis for Dazz Pro subscription and cancelling the subscription is messy. Im still not able to figure out how exactly do I cancel it. It says it should show on my apple account but IT IS NOT.,2026-04-15T15:28:03-07:00,Minsakamal
5,Best photography app & you can actually buy it!,"Worth 5 stars just because you can actually buy the app! The filters are excellent for both video and photo. Maybe if the video had a bit more options it would be perfect. Same with photos , just needs a couple more options in order to be perfect.",2026-04-15T14:44:40-07:00,Joey D.34663
5,Ado brought me here!!,"Ado just recommended this app on her Instagram stories, and it’s truly amazing!!",2026-04-15T14:00:29-07:00,MarioManuelV
5,Best camera/filter app,"I love this app so much, the amount of filters that are on this app is insane I would 100% recommend this app",2026-04-14T21:01:13-07:00,Hello star 3333
5,I loooove this app,Im London nd I love this app sooo much,2026-04-12T16:16:37-07:00,𝘭𝘰𝘯𝘭𝘰𝘯🪽
2,too many paid options,Has some features but too many paid options,2026-04-06T12:41:47-07:00,The Reviewer ✔️
5,Good pictures,This make all my pic look so good and I thank u for that and good quality,2026-04-04T08:25:25-07:00,Me the db
5,Самое любимое приложение,лучший,2026-03-31T10:28:00-07:00,I UNICORN 🦄345768
5,awesome!,I don’t usually write reviews but this app is so good. I love taking pictures with it and will continue to always take them pictures with it!! I probably will buy the yearly subscription!!,2026-03-29T08:21:32-07:00,I dont like tis
5,the best app in the world,i’ve been using this app in 2020 and 2022 and all i got to say is that This is an awesome app!! 10/10,2026-03-28T16:50:24-07:00,Taijonerys354
5,amazing,it’s so amazing it makes photos look aesthetic and makes everything you have can be so gorg,2026-03-28T14:40:12-07:00,malihaq
5,LOVE THIS ITS SO AMAZING,"even without DAZZ plus, it’s an amaaaazing app. Best camera app I’ve ever used!! (Other than apple) definitely try CPM35 if your going for vintage!☺️",2026-03-28T05:33:45-07:00,Melllliiii🍄
5,جمال البرنامج🎀🙆🏻‍♀️,برنامج يجنن بمعنى الكلمة🙈🙈,2026-03-27T09:31:22-07:00,جمال البرنامج🙈🙈🙆🏻‍♀️
5,Very nice vintage style,The variety of cameras was prestige,2026-03-26T09:17:46-07:00,SungyWoo
5,❤️,It’s a really good camera and saves you photos!,2026-03-23T11:09:02-07:00,🏄‍♀️🌺
3,Good app,"The app is great, with cool lenses. I don’t want to pay for the premium version, but want my work to save into my photo album. How would I do this?",2026-03-22T19:15:21-07:00,VOXX XXOV
5,Fire,Fire,2026-03-22T18:45:08-07:00,good game good game 395qo
5,Love this app,"I truly recommend this app, makes my pictures and videos look amazing. And I also want them to add a night vision feature like rap music videos that would be amazing. For that late night vibes with friends",2026-03-22T13:16:57-07:00,Yow_P
5,5 stars,"honestly,helps me take the best type of photos, either it’s diji cam vibes, nostalgia or just ethereal vibes. it always makes u look perfect",2026-03-21T12:14:10-07:00,zymalalala
5,Review,Soooo good jst wish u could put pics in for all the cameras but other than that sooo good!!!,2026-03-20T15:36:47-07:00,Lil Jim bob the first
5,Loveeeee,"SO GOOD looks just like a real camera, I recommend picking the GRD R camera setting!",2026-03-14T20:54:13-07:00,Harper1!
5,Best app,Makes photos look nice,2026-03-13T18:41:41-07:00,Reclip master
5,perfect!!,"was looking for a camera app with some personality but without either having ridiculous paywalls or a penchant for harvesting and selling my data — this one checks off both! i appreciate the generous amount of camera options and lack of nag screens for the free version, as well as the fact that there’s a one-time payment option for pro — makes it more likely that i will go for that in the future!

as for the actual filters, they look absolutely gorgeous and super realistic! when i tried out one of the polaroid/instant settings i was impressed with how similar it looked to my physical polaroid camera. i also particularly enjoy the random lightleaks, image temperature, and chromatic abberation settings and the ability to adjust intensity of them. excellent job!!",2026-03-10T19:27:00-07:00,Rubes6
5,Review,This app is wonderful for pictures I love it,2026-03-10T17:35:15-07:00,Marleycplays
5,Love it!!,"I love this app! I use CMP35 and it’s my favorite! It works on mirror pics, sky /beach pics, your own self pics! amazing photo editor I love it!",2026-03-10T16:37:46-07:00,Kenzie🐚🌊🥥🥍
5,Old school Instagram,The filters remind of my OG Instagram before they were bought by Facebook. Paid for the lifetime instantly. One feature request: the ability to program the app the launch with camera control 🙏🏼,2026-03-07T14:27:22-07:00,jaytorres
3,Love love love,Such a awesome good app. It has everything it needs,2026-03-03T15:13:48-07:00,Petunia8880
3,Great app but…,This is a great app but it should have the details of the picture you took so you can create the same look again! For example… the temperature info!,2026-03-02T04:19:21-07:00,tjohn007
5,Can you add the harinezumi?,"Very fun camera app and the free version comes with a lot of functionality. 

Can you add emulation for the toy camera harinezumi?",2026-02-28T19:51:51-07:00,trctrctrctrctrc
4,Amazing camera,This is an absolute fantastic app and pretty much replaced the default camera app but PLEASEEEEE fix the artifacts and black lines appearing for the default camera PRORaw mode (iPhone 14 pro max) it's always a gamble between a good picture and a good now ruined picture from the black lines. Please look into prioritizing that. Thank you,2026-02-28T14:29:33-07:00,valyrianeli
5,Majestic,"I kept seeing this app on Instagram, and the photos that people took with this app looked beautiful. I decided to try the app and took SO MANY MAJESTIC PHOTOS. I don’t know how this app only has 4.8 stars!",2026-02-28T09:04:36-07:00,Takisareg00d
4,Solid film sims,Definitely a pretty dialed film simulator but there can be improvements in removing the “hdr”ness of the shots in higher contrast. If that gets fixed then this might replace my p&s cameras which would be GREAT!,2026-02-28T01:17:54-07:00,owoflux
5,SO GOOD! LOOKS SO GOOD,this app is amazing i’ve had it for a year now and use it all the time it makes any photo look good the video cameras r kinda funky but over all this is a great app.🔥🔥,2026-02-27T19:52:08-07:00,Levi Swift.
5,Mi amado Dazz,"Te amaré por siempre sin importar que las mejores cámaras son de pago, no todo puede ser tan bueno. Te amo eres lo mejor y lo sabes 😘😘",2026-02-26T10:43:44-07:00,La bella Sarah
5,Excellent App,"I’ve been using this since 2023 and it’s my main photography app, experimenting and creating with the cameras is really fun and amazing what you can do here, I would love a black and white video camera, even if I use more the photo cameras. 

This app is worth more the price it offers, great additions over the years.
10/10.",2026-02-26T01:37:35-07:00,Blackjack36p
4,Favorites Section,"It would be great if you could add the cameras you use the most to a ""favorites section”. It would be easier, surely there are people who do not remember which camera they used. Thank you very much, excellent app!!",2026-02-25T07:25:45-07:00,danielchvz
5,Love Dazz Cam!,"The film emulations and real camera feel are fantastic.
Please add full support for the iPhone 16 Camera Control button.
It doesn’t show up yet in Settings > Camera > Camera Control (unlike Blackmagic Cam or Leica LUX), so I can’t set it as default or open it from the lock screen.
Quick launch + gesture support would be perfect for everyday retro photography.
Thanks for the great work!",2026-02-24T18:56:39-07:00,gquuuux
5,YEYYSYYS,"It’s rlly good I just can’t switch the color of the dates, if that makes sense",2026-02-20T11:25:53-07:00,melisaaa #1
5,Love the effect but,"Love all the film camera options and results, great work, but it would be EVEN better if it lets me bookmark(or heart) my favorite cameras",2026-02-18T10:53:28-07:00,mar damn it
5,THE BEST,"THIS APP IS ABSOLUTELY AMAZING AND I LOVE THIS, IT HAS ALL DIFFERENT VARIETIES OF STUFF AND ITS JUST LITERALLY PERFECT!!!",2026-02-15T09:19:59-07:00,Can get boring after a while
5,loveeeee it so vintage looking,love it so much,2026-02-08T16:25:40-07:00,siana lucero
